date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:54	92619/92619	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:55%20GMT	https://www.ihateironing.com/dry-cleaners-oxford/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-oxford/index.html	(from https://www.ihateironing.com/)
18:26:54	89494/89494	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:55%20GMT	https://www.ihateironing.com/wash-and-fold-near-me/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/wash-and-fold-near-me/index.html	(from https://www.ihateironing.com/)
18:26:54	89740/89740	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:55%20GMT	https://www.ihateironing.com/same-day-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/same-day-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:26:54	88786/88786	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:55%20GMT	https://www.ihateironing.com/dry-cleaners-near-me/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/dry-cleaners-near-me/index.html	(from https://www.ihateironing.com/)
18:26:55	17791/17791	---M-Z	200	added ('OK')	application/javascript	etag:W/%22457f-zA7QrHnYYTK2xYcjaiN3JvTqWzo%22	https://cdn.jsdelivr.net/npm/axios/dist/axios.min.js	C:/My%20Web%20Sites/ihateironing/cdn.jsdelivr.net/npm/axios/dist/axios.min.js	(from https://www.ihateironing.com/)
18:26:55	16683/16683	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:56%20GMT	https://www.ihateironing.com/gifts/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/gifts/index.html	(from https://www.ihateironing.com/)
18:26:55	69122/69122	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:56%20GMT	https://www.ihateironing.com/services/household-dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/household-dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:26:55	445779/445779	---M--	200	added ('OK')	application/javascript	etag:%220b773f6cf58d8524a18ea1aa92626c59%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/js/libs.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/js/libs.js	(from https://www.ihateironing.com/)
18:26:55	87045/87045	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:56%20GMT	https://www.ihateironing.com/services/dry-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/dry-cleaning/index.html	(from https://www.ihateironing.com/)
18:26:55	3548/3548	---M--	200	added ('OK')	application/javascript	etag:%22508bf34b4af0b75f77d8d9f1fba9e0be%22	https://s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/accounts/js/addresses.js	C:/My%20Web%20Sites/ihateironing/s3.eu-west-2.amazonaws.com/production.storage.ihateironing.com/static/accounts/js/addresses.js	(from https://www.ihateironing.com/)
18:26:56	44776/44776	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:57%20GMT	https://www.ihateironing.com/services/guesthug-laundry-services/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/guesthug-laundry-services/index.html	(from https://www.ihateironing.com/)
18:26:56	53817/53817	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:57%20GMT	https://www.ihateironing.com/services/shirt-service/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/shirt-service/index.html	(from https://www.ihateironing.com/)
18:26:56	78783/78783	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:58%20GMT	https://www.ihateironing.com/services/duvet-and-bed-linen-laundry/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/duvet-and-bed-linen-laundry/index.html	(from https://www.ihateironing.com/)
18:26:56	55077/55077	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2013:26:58%20GMT	https://www.ihateironing.com/services/curtain-cleaning/	C:/My%20Web%20Sites/ihateironing/www.ihateironing.com/services/curtain-cleaning/index.html	(from https://www.ihateironing.com/)
